Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
42471;TEILRW1;Teilflächen-RW;POS;7
42472;TEILRW2;Teilflächen-RW;POS;7
42473;TEILRW3;Teilflächen-RW;POS;7
42474;TEILRW4;Teilflächen-RW;POS;7
42475;TEILRW5;Teilflächen-RW;POS;7
42476;TEILRW6;Teilflächen-RW;POS;7
42477;TEILRW7;Teilflächen-RW;POS;7
42478;TEILRW8;Teilflächen-RW;POS;7
#;;;;
42481;TEILHW1;Teilflächen-HW8;POS;7
42482;TEILHW2;Teilflächen-HW8;POS;7
42483;TEILHW3;Teilflächen-HW8;POS;7
42484;TEILHW4;Teilflächen-HW8;POS;7
42485;TEILHW5;Teilflächen-HW8;POS;7
42486;TEILHW6;Teilflächen-HW8;POS;7
42487;TEILHW7;Teilflächen-HW8;POS;7
42488;TEILHW8;Teilflächen-HW8;POS;7
#---------------------------------------------------------------------------
#;;;;
441;VERP;Verpachtung;;
4411;VERPAU;Verpachtung -Ausprägung;KINT;1
4412;VERPPA;Verpachtung -Pacht;DEZ;5.2
#;;;;
512;KGES;Kellergeschoss;;
5121;KGESUN;Kellergeschoss -Unterkellerung;NINT;3
5122;KGESAU;Kellergeschoss -Aufenthaltsräume;NINT;3
#;;;;
513;DGES;Dachgeschossausbau;;
5131;DGESAU;Dachgeschossausbau -Ausprägung;KINT;1
5132;DGESAN;Dachgeschossausbau -Anteil;NINT;3
#;;;;
518;ANNU;Art und Anteil an der gewerblichen Nutzfläche;;
#ANNU1;;;;
5181;ANNUAR1;Art und Anteil an der gewerblichen Nutzfläche;KINT;1
5182;ANNUAN1;Art und Anteil an der gewerblichen Nutzfläche;NINT;3
#ANNU2;;;;
5183;ANNUAR2;Art und Anteil an der gewerblichen Nutzfläche;KINT;1
5184;ANNUAN2;Art und Anteil an der gewerblichen Nutzfläche;NINT;3
#ANNU3;;;;
5185;ANNUAR3;Art und Anteil an der gewerblichen Nutzfläche;KINT;1
5186;ANNUAN3;Art und Anteil an der gewerblichen Nutzfläche;NINT;3
#ANNU4;;;;
5187;ANNUAR4;Art und Anteil an der gewerblichen Nutzfläche;KINT;1
5188;ANNUAN4;Art und Anteil an der gewerblichen Nutzfläche;NINT;3
#;;;;
519;SOFL;Sonstige Nutzfläche;;
5191;SOFLAU;Sonstige Nutzfläche -Ausprägung;KINT;1
5192;SOFLFL;Sonstige Nutzfläche -Fläche;NINT;4
#;;;;
527;WGGA;Weitere Gebäude -Gebäudeart-;KINT;
5271;WGGA1;Weitere Gebäude -Gebäudeart- 1;KINT;3
5272;WGGA2;Weitere Gebäude -Gebäudeart- 2;KINT;3
5273;WGGA3;Weitere Gebäude -Gebäudeart- 3;KINT;3
5274;WGGA4;Weitere Gebäude -Gebäudeart- 4;KINT;3
5275;WGGA5;Weitere Gebäude -Gebäudeart- 5;KINT;3
#;;;;
528;WGGR;Weitere Gebäude -Grundfläche-;NINT;
5281;WGGR1;Weitere Gebäude -Grundfläche- 1;NINT;5
5282;WGGR2;Weitere Gebäude -Grundfläche- 2;NINT;5
5283;WGGR3;Weitere Gebäude -Grundfläche- 3;NINT;5
5284;WGGR4;Weitere Gebäude -Grundfläche- 4;NINT;5
5285;WGGR5;Weitere Gebäude -Grundfläche- 5;NINT;5
#;;;;
529;WGGE;Weitere Gebäude -Geschosszahl-;NINT;
5291;WGGE1;Weitere Gebäude -Geschosszahl- 1;NINT;2
5292;WGGE2;Weitere Gebäude -Geschosszahl- 2;NINT;2
5293;WGGE3;Weitere Gebäude -Geschosszahl- 3;NINT;2
5294;WGGE4;Weitere Gebäude -Geschosszahl- 4;NINT;2
5295;WGGE5;Weitere Gebäude -Geschosszahl- 5;NINT;2
#;;;;
530;WGBJ;Weitere Gebäude -Baujahr-;JINT;
5301;WGBJ1;Weitere Gebäude -Baujahr- 1;JINT;4
5302;WGBJ2;Weitere Gebäude -Baujahr- 2;JINT;4
